Date,Open,High,Low,Close,Adj Close,Volume
2019-12-03,76.349998,76.650002,76.019997,76.650002,71.994690,3252100
2019-12-04,76.980003,77.260002,76.930000,77.180000,72.492500,2282800
2019-12-05,77.300003,77.330002,76.970001,77.260002,72.567650,1986600
2019-12-06,77.820000,77.970001,77.760002,77.870003,73.140602,1684300
2019-12-09,77.779999,77.959999,77.620003,77.620003,72.905792,2160500
2019-12-10,77.620003,77.800003,77.430000,77.570000,72.858818,2081800
2019-12-11,77.739998,78.059998,77.699997,77.940002,73.206337,1249100
2019-12-12,77.970001,78.809998,77.940002,78.629997,73.854431,3291200
2019-12-13,78.800003,79.230003,78.559998,78.879997,74.089256,3235600
2019-12-16,78.519997,78.680000,78.470001,78.510002,74.633965,1588000
2019-12-17,78.610001,78.629997,78.480003,78.500000,74.624458,1671200
2019-12-18,78.589996,78.639999,78.489998,78.550003,74.672005,2486200
2019-12-19,78.510002,78.730003,78.440002,78.730003,74.843094,2847200
2019-12-20,79.010002,79.080002,78.870003,78.870003,74.976196,2071800
2019-12-23,79.080002,79.120003,79.010002,79.050003,75.147301,1385500
2019-12-24,79.120003,79.129997,78.949997,79.070000,75.166321,1295900
2019-12-26,79.180000,79.500000,79.169998,79.500000,75.575081,764600
2019-12-27,79.919998,79.919998,79.410004,79.550003,75.622627,1247200
2019-12-30,79.629997,79.629997,78.970001,79.070000,75.166321,1798500
2019-12-31,78.959999,79.309998,78.889999,79.250000,75.337448,2046800
2020-01-02,79.769997,80.099998,79.650002,80.070000,76.116951,2341600
2020-01-03,79.129997,79.690002,79.040001,79.379997,75.461014,1686700
2020-01-06,78.930000,79.580002,78.910004,79.559998,75.632118,2298000
2020-01-07,79.459999,79.559998,79.290001,79.360001,75.442001,2312900
2020-01-08,79.370003,80.029999,79.320000,79.750000,75.812752,2932900
2020-01-09,80.110001,80.199997,79.940002,80.199997,76.240532,1694600
2020-01-10,80.279999,80.370003,79.889999,80.019997,76.069420,3321300
2020-01-13,80.190002,80.620003,80.059998,80.620003,76.639793,2383400
2020-01-14,80.440002,80.709999,80.360001,80.550003,76.573242,1863000
2020-01-15,80.440002,80.720001,80.379997,80.500000,76.525719,1618600
2020-01-16,80.849998,81.099998,80.809998,81.089996,77.086578,1401800
2020-01-17,81.339996,81.389999,81.139999,81.309998,77.295723,1912400
2020-01-21,80.889999,81.110001,80.800003,80.870003,76.877457,2564500
2020-01-22,81.160004,81.290001,80.910004,80.930000,76.934494,2105700
2020-01-23,80.680000,80.959999,80.349998,80.940002,76.944000,2980400
2020-01-24,81.129997,81.139999,80.029999,80.269997,76.307060,2580200
2020-01-27,78.730003,79.129997,78.550003,78.779999,74.890640,1887200
2020-01-28,79.080002,79.699997,79.000000,79.519997,75.594109,1828200
2020-01-29,79.830002,79.940002,79.470001,79.510002,75.584595,1050700
2020-01-30,78.900002,79.610001,78.639999,79.510002,75.584595,4115400
2020-01-31,79.110001,79.120003,77.900002,78.110001,74.253716,5488400
2020-02-03,78.459999,79.040001,78.440002,78.639999,74.757545,3539600
2020-02-04,79.760002,80.169998,79.709999,79.989998,76.040894,2279400
2020-02-05,80.820000,80.830002,80.360001,80.750000,76.763374,2399200
2020-02-06,81.000000,81.040001,80.760002,80.910004,76.915482,3090100
2020-02-07,80.559998,80.650002,80.220001,80.379997,76.411644,2062200
2020-02-10,80.150002,80.800003,80.150002,80.779999,76.791901,1832600
2020-02-11,81.220001,81.489998,81.040001,81.190002,77.181664,2964000
2020-02-12,81.580002,81.750000,81.480003,81.730003,77.695000,2056700
2020-02-13,81.169998,81.599998,81.089996,81.360001,77.343254,3010300
2020-02-14,81.510002,81.519997,81.150002,81.440002,77.419312,1032800
2020-02-18,81.070000,81.209999,80.830002,81.120003,77.115105,2040300
2020-02-19,81.400002,81.610001,81.360001,81.459999,77.438332,2220900
2020-02-20,81.199997,81.419998,80.389999,80.989998,76.991531,2419300
2020-02-21,80.760002,80.760002,80.180000,80.360001,76.392632,2489600
2020-02-24,77.470001,78.220001,77.430000,77.599998,73.768898,8362400
2020-02-25,77.959999,78.139999,75.610001,75.610001,71.877144,7897800
2020-02-26,76.260002,77.019997,75.550003,75.680000,71.943680,7015500
2020-02-27,74.379997,75.230003,72.839996,73.029999,69.424507,10056300
2020-02-28,70.809998,72.370003,70.169998,72.260002,68.692535,7472500
2020-03-02,72.620003,74.709999,71.989998,74.650002,70.964531,7880100
2020-03-03,74.849998,75.930000,72.660004,72.870003,69.272408,6983500
2020-03-04,74.519997,75.860001,73.980003,75.860001,72.114792,3885200
2020-03-05,73.989998,74.790001,73.120003,73.540001,69.909348,3210100
2020-03-06,71.500000,72.599998,71.070000,72.230003,68.664017,4586200
2020-03-09,67.290001,68.900002,66.550003,66.790001,63.492588,15532800
2020-03-10,69.209999,69.860001,66.809998,69.860001,66.411018,6150500
2020-03-11,67.919998,68.120003,65.629997,66.250000,62.979252,7040200
2020-03-12,61.310001,63.000000,59.500000,59.740002,56.790634,10362200
2020-03-13,63.290001,64.839996,59.849998,64.019997,60.859333,10082700
2020-03-16,53.799999,60.340000,53.799999,56.840000,54.033810,6968800
2020-03-17,58.090000,60.439999,56.599998,60.389999,57.408550,8580800
2020-03-18,56.099998,58.000000,54.169998,56.759998,53.957760,9230200
2020-03-19,56.189999,58.349998,55.139999,57.119999,54.299995,9173800
2020-03-20,58.099998,58.750000,55.299999,55.310001,52.579350,6484800
2020-03-23,55.180000,55.520000,53.310001,54.330002,51.647732,8156700
2020-03-24,57.639999,59.110001,57.180000,58.750000,55.849514,5105700
2020-03-25,59.419998,62.130001,58.529999,60.360001,57.380032,14629400
2020-03-26,60.990002,63.759998,60.889999,63.540001,60.403034,13227500
2020-03-27,61.189999,62.860001,60.840000,61.680000,58.634861,5637900
2020-03-30,61.799999,63.119999,61.299999,63.040001,59.927719,6088900
2020-03-31,62.610001,63.389999,61.889999,62.570000,59.480923,9648300
2020-04-01,60.119999,60.919998,59.299999,59.700001,56.752613,4057600
2020-04-02,59.590000,61.209999,59.490002,60.900002,57.893372,4061900
2020-04-03,60.590000,60.970001,59.360001,59.990002,57.028301,3180200
2020-04-06,62.119999,63.980000,61.970001,63.689999,60.545620,4577700
2020-04-07,65.879997,65.989998,63.750000,63.759998,60.612171,3946300
2020-04-08,64.339996,65.540001,63.740002,65.300003,62.076149,6039200
2020-04-09,66.169998,66.930000,65.720001,66.250000,62.979252,5729500
2020-04-13,65.989998,66.169998,64.919998,65.720001,62.475410,5530800
2020-04-14,66.919998,67.629997,66.790001,67.410004,64.081970,3172500
2020-04-15,65.739998,66.180000,65.370003,65.730003,62.484905,4626000
2020-04-16,66.059998,66.230003,65.330002,66.010002,62.751091,2940900
2020-04-17,67.589996,67.879997,66.900002,67.809998,64.462219,5653600
2020-04-20,66.809998,67.750000,66.669998,66.820000,63.521095,5004300
2020-04-21,65.599998,65.930000,64.669998,64.769997,61.572311,6007700
2020-04-22,66.080002,66.550003,65.849998,66.290001,63.017269,4314200
2020-04-23,66.580002,67.370003,66.110001,66.220001,62.950714,3718600
2020-04-24,66.620003,67.059998,66.029999,66.900002,63.597141,4069900
2020-04-27,67.519997,68.150002,67.360001,67.989998,64.633331,10858600
2020-04-28,68.970001,69.089996,67.889999,68.000000,64.642845,2974300
2020-04-29,69.300003,70.070000,69.120003,69.800003,66.353981,5434000
2020-04-30,69.260002,69.330002,68.370003,68.720001,65.327301,20850300
2020-05-01,67.559998,67.669998,66.669998,66.910004,63.606659,3467500
2020-05-04,66.559998,67.220001,66.239998,67.129997,63.815788,2017200
2020-05-05,67.820000,68.269997,67.540001,67.599998,64.262589,2558800
2020-05-06,68.160004,68.180000,67.239998,67.239998,63.920364,2618000
2020-05-07,68.089996,68.529999,67.940002,68.129997,64.766426,3227300
2020-05-08,68.940002,69.339996,68.730003,69.260002,65.840637,3530900
2020-05-11,68.760002,69.570000,68.709999,69.330002,65.907181,9407000
2020-05-12,69.620003,69.699997,68.160004,68.160004,64.794952,3864600
2020-05-13,68.269997,68.449997,66.769997,67.260002,63.939377,13590400
2020-05-14,66.370003,67.680000,65.769997,67.680000,64.338646,3847900
2020-05-15,67.089996,67.739998,66.910004,67.739998,64.395683,2617100
2020-05-18,69.309998,70.330002,69.309998,70.040001,66.582130,2832900
2020-05-19,69.800003,70.169998,69.290001,69.330002,65.907181,3166400
2020-05-20,70.320000,70.760002,70.230003,70.489998,67.009911,5505300
2020-05-21,70.279999,70.540001,69.599998,69.870003,66.420525,6890400
2020-05-22,69.589996,69.790001,69.279999,69.790001,66.344467,4058400
2020-05-26,71.519997,71.620003,70.970001,71.099998,67.589798,6089400
2020-05-27,71.730003,71.989998,70.669998,71.989998,68.435860,6271700
2020-05-28,72.349998,72.879997,71.889999,72.050003,68.492905,4204600
2020-05-29,71.889999,72.360001,71.250000,72.220001,68.654503,7392600
2020-06-01,72.459999,73.160004,72.320000,73.139999,69.529083,2545000
2020-06-02,73.459999,73.940002,73.300003,73.940002,70.289597,4202900
2020-06-03,74.629997,75.370003,74.529999,75.150002,71.439842,4526100
2020-06-04,74.790001,75.209999,74.370003,74.739998,71.050079,4406400
2020-06-05,76.169998,76.949997,76.169998,76.449997,72.675659,4274700
2020-06-08,76.760002,77.379997,76.440002,77.339996,73.521729,1745700
2020-06-09,76.419998,76.919998,76.269997,76.660004,72.875298,5235700
2020-06-10,76.809998,77.110001,76.199997,76.449997,72.675659,3593800
2020-06-11,74.540001,74.660004,72.040001,72.150002,68.587959,3414800
2020-06-12,73.959999,74.220001,72.010002,73.190002,69.576614,4234400
2020-06-15,71.110001,73.320000,70.870003,73.070000,70.050194,3099900
2020-06-16,74.940002,74.940002,73.199997,74.279999,71.210197,2931700
2020-06-17,74.639999,74.720001,74.050003,74.239998,71.171837,3125200
2020-06-18,73.860001,74.320000,73.709999,74.150002,71.085571,884300
2020-06-19,75.029999,75.029999,73.570000,73.730003,70.682922,1516600
2020-06-22,73.949997,74.529999,73.650002,74.470001,71.392342,1953200
2020-06-23,75.160004,75.349998,74.739998,74.820000,71.727867,1623700
2020-06-24,74.239998,74.389999,72.639999,73.059998,70.040611,2167300
2020-06-25,72.959999,73.870003,72.510002,73.839996,70.788361,1579100
2020-06-26,73.639999,73.650002,72.290001,72.410004,69.417480,1669500
2020-06-29,72.690002,73.239998,72.169998,73.239998,70.213173,1806700
2020-06-30,73.000000,74.080002,72.940002,73.720001,70.673340,2966800
2020-07-01,73.949997,74.510002,73.889999,74.269997,71.200600,2135500
2020-07-02,75.260002,75.629997,74.820000,74.959999,71.862091,1674500
2020-07-06,76.209999,76.440002,76.000000,76.400002,73.242569,2516900
2020-07-07,75.860001,76.320000,75.459999,75.510002,72.389366,2450200
2020-07-08,75.730003,76.309998,75.480003,76.290001,73.137123,1859800
2020-07-09,76.489998,76.510002,75.070000,75.820000,72.686546,7607400
2020-07-10,75.860001,76.470001,75.500000,76.430000,73.271339,4924700
2020-07-13,76.980003,77.510002,75.650002,75.760002,72.629021,3757400
2020-07-14,75.529999,76.809998,75.309998,76.699997,73.530182,2962200
2020-07-15,77.610001,77.779999,76.949997,77.459999,74.258774,4154700
2020-07-16,76.800003,77.080002,76.669998,76.989998,73.808189,4876700
2020-07-17,77.279999,77.379997,76.839996,77.260002,74.067039,4161900
2020-07-20,77.330002,78.070000,77.129997,77.940002,74.718933,2587600
2020-07-21,78.559998,78.650002,78.040001,78.180000,74.949013,2770400
2020-07-22,78.089996,78.559998,78.019997,78.430000,75.188683,2292700
2020-07-23,78.330002,78.599998,77.330002,77.620003,74.412155,1694200
2020-07-24,77.059998,77.389999,76.800003,77.160004,73.971161,1128700
2020-07-27,77.570000,78.050003,77.419998,78.019997,74.795624,1298500
2020-07-28,77.730003,78.019997,77.419998,77.489998,74.287521,1605600
2020-07-29,77.830002,78.580002,77.809998,78.410004,75.169510,911500
2020-07-30,77.339996,77.970001,76.800003,77.900002,74.680588,1933100
2020-07-31,78.019997,78.029999,76.750000,77.669998,74.460083,4089200
2020-08-03,78.190002,78.599998,78.070000,78.489998,75.246201,5849300
2020-08-04,78.290001,78.910004,78.290001,78.900002,75.639267,1868800
